Task,Start,Finish,Duration (days)
1. Majority of Households Are Not Affected,17/4/2025,20/4/2025,3
2. The Tariff Hike is Targeted and Fair,17/4/2025,20/4/2025,3
"3. Necessary for Grid Reliability, Better Service and Future Growth",17/4/2025,20/4/2025,3
4. Reinvestment into Public Goods,17/4/2025,20/4/2025,3
5. Still Among the Lowest Rates in the Region,17/4/2025,20/4/2025,3
6. Tied to Global Fuel Prices – Not Arbitrary,17/4/2025,20/4/2025,3
7. Protects Malaysia’s Financial Stability,17/4/2025,20/4/2025,3
8. Encourages Energy Efficiency,17/4/2025,21/4/2025,4
9. Supports Malaysia’s Green Transition,17/4/2025,21/4/2025,4
10. Backed by Transparent Regulatory Process,17/4/2025,22/4/2025,5
11. Minimal Impact on Inflation,17/4/2025,23/4/2025,6
12. Businesses Are Being Engaged and Supported,17/4/2025,23/4/2025,6
13. Successful International Models Show This Works,17/4/2025,23/4/2025,6
14. Proactive Communication & Crisis Planning,17/4/2025,24/4/2025,7
15. Tariff Hike Covers Real Costs – Not Profit,17/4/2025,24/4/2025,7
16. Strict Government Oversight,17/4/2025,24/4/2025,7
17. Past Hikes Have Been Gradual & Well Cushioned,17/4/2025,25/4/2025,8
18. Misconceptions Must Be Cleared,17/4/2025,25/4/2025,8
19. Energy Efficiency = Empowerment,17/4/2025,25/4/2025,8
A. Blackout Cases in Malaysia,23/4/2025,28/4/2025,5
B. Case Studies on Tariff Increases for Modernization,23/4/2025,28/4/2025,5
C. Comparison ASEAN Tariff,23/4/2025,28/4/2025,5
D. Effects of the New Tariff Hike to SMEs,23/4/2025,28/4/2025,5
E. Overall Sentiment Toward TNB Tariff Hike,24/4/2025,29/4/2025,5
F. Overview of TNB’s RM42.8B Investment for RP4,24/4/2025,29/4/2025,5
G. Regulatory or Auditing Bodies Monitor Spending,24/4/2025,29/4/2025,5
H. Targeted Subsidies to Support Low-Income Users,24/4/2025,29/4/2025,5
